rank_from_low,rank_from_high,percentile,cosponsored,id,bioguide_id,state,district,name
1,100,0,55,300089,S000320,AL,,b'Shelby'
2,99,1,94,300072,M000355,KY,,b'McConnell'
3,98,2,111,400408,T000461,PA,,b'Toomey'
4,97,3,118,412671,S001197,NE,,b'Sasse'
5,96,4,132,412841,R000615,UT,,b'Romney'
6,95,5,141,412492,P000603,KY,,b'Paul'
7,94,6,152,412495,L000577,UT,,b'Lee'
8,93,7,153,412496,J000293,WI,,b'Johnson'
9,92,8,164,300087,S000148,NY,,b'Schumer'
10,91,9,174,456796,T000278,AL,,b'Tuberville'
11,90,10,180,400054,B001135,NC,,b'Burr'
12,89,11,200,300047,G000359,SC,,b'Graham'
13,88,12,206,412556,F000463,NE,,b'Fischer'
14,87,13,209,412391,M001183,WV,,b'Manchin'
15,86,14,213,412679,K000393,LA,,b'Kennedy'
16,85,15,227,400546,T000250,SD,,b'Thune'
17,84,16,232,300018,C000127,WA,,b'Cantwell'
18,83,17,241,412840,H001089,MO,,b'Hawley'
19,82,18,251,400034,B000575,MO,,b'Blunt'
20,81,19,255,456797,H000273,CO,,b'Hickenlooper'
21,80,20,257,300019,C000174,DE,,b'Carper'
22,79,21,258,412508,C001095,AR,,b'Cotton'
23,78,22,259,456857,O000174,GA,,b'Ossoff'
24,77,23,264,412507,S001194,HI,,b'Schatz'
25,76,24,270,412665,S001198,AK,,b'Sullivan'
26,75,25,274,412321,W000805,VA,,b'Warner'
27,74,26,283,300030,C000880,ID,,b'Crapo'
28,73,27,287,412251,B001261,WY,,b'Barrasso'
29,71,28,300,300055,I000024,OK,,b'Inhofe'
29,71,28,300,412428,Y000064,IN,,b'Young'
31,69,30,302,412494,H001061,ND,,b'Hoeven'
31,69,30,302,412244,T000464,MT,,b'Tester'
33,68,32,305,300075,M001153,AK,,b'Murkowski'
34,66,33,308,456798,H000601,TN,,b'Hagerty'
34,66,33,308,412669,R000605,SD,,b'Rounds'
36,65,35,315,400325,P000449,OH,,b'Portman'
37,64,36,330,412322,R000584,ID,,b'Risch'
38,62,37,333,412294,L000571,WY,,b'Lummis'
38,62,37,333,300081,R000122,RI,,b'Reed'
40,61,39,334,400284,M000934,KS,,b'Moran'
41,60,40,337,412573,C001098,TX,,b'Cruz'
42,58,41,338,456794,K000377,AZ,,b'Kelly'
42,58,41,338,300065,L000174,VT,,b'Leahy'
44,57,43,343,412471,S001184,SC,,b'Scott'
45,56,44,349,412269,C001075,LA,,b'Cassidy'
46,54,45,351,412281,H001046,NM,,b'Heinrich'
46,54,45,351,300076,M001111,WA,,b'Murray'
48,53,47,357,412464,L000575,OK,,b'Lankford'
49,52,48,368,300048,G000386,IA,,b'Grassley'
50,51,49,369,412509,S001191,AZ,,b'Sinema'
51,50,50,372,412330,B001267,CO,,b'Bennet'
52,49,51,374,412743,H001079,MS,,b'Hyde-Smith'
53,47,52,376,412704,M001198,KS,,b'Marshall'
53,47,52,376,400272,M000639,NJ,,b'Menendez'
55,46,54,379,300027,C001056,TX,,b'Cornyn'
56,45,55,392,412194,M001169,CT,,b'Murphy'
57,44,56,399,456858,W000790,GA,,b'Warnock'
58,43,57,401,400040,B001236,AR,,b'Boozman'
59,42,58,405,412549,D000618,MT,,b'Daines'
60,41,59,406,412293,L000570,NM,,b'Luj\xc3\xa1n'
61,40,60,412,400432,W000437,MS,,b'Wicker'
62,38,61,415,412582,K000384,VA,,b'Kaine'
62,38,61,415,300093,S000770,MI,,b'Stabenow'
64,37,63,419,412667,E000295,IA,,b'Ernst'
65,36,64,427,400061,C001047,WV,,b'Capito'
66,35,65,431,412305,P000595,MI,,b'Peters'
67,34,66,433,412838,S001217,FL,,b'Scott'
68,33,67,452,412681,C001113,NV,,b'Cortez Masto'
69,32,68,453,412323,S001181,NH,,b'Shaheen'
70,31,69,455,400357,S000033,VT,,b'Sanders'
71,30,70,470,412390,C001088,DE,,b'Coons'
72,29,71,478,400064,C000141,MD,,b'Cardin'
73,28,72,484,412200,H001042,HI,,b'Hirono'
74,27,73,487,412555,C001096,ND,,b'Cramer'
75,26,74,488,412545,K000383,ME,,b'King'
76,25,75,499,412247,W000802,RI,,b'Whitehouse'
77,24,76,500,400032,B001243,TN,,b'Blackburn'
78,23,77,503,412668,T000476,NC,,b'Tillis'
79,22,78,507,412680,H001076,NH,,b'Hassan'
80,21,79,511,412491,R000595,FL,,b'Rubio'
81,20,80,512,412223,G000555,NY,,b'Gillibrand'
82,19,81,513,412533,D000622,IL,,b'Duckworth'
83,18,82,515,300025,C001035,ME,,b'Collins'
84,17,83,527,412246,C001070,PA,,b'Casey'
85,16,84,538,412715,R000608,NV,,b'Rosen'
86,15,85,556,400013,B001230,WI,,b'Baldwin'
87,14,86,565,300100,W000779,OR,,b'Wyden'
88,13,87,569,412839,B001310,IN,,b'Braun'
89,12,88,586,400050,B000944,OH,,b'Brown'
90,11,89,594,412325,M001176,OR,,b'Merkley'
91,10,90,613,300038,D000563,IL,,b'Durbin'
92,9,91,622,400253,M000133,MA,,b'Markey'
93,8,92,639,456856,P000145,CA,,b'Padilla'
94,7,93,650,412542,W000817,MA,,b'Warren'
95,6,94,666,300043,F000062,CA,,b'Feinstein'
96,5,95,675,412742,S001203,MN,,b'Smith'
97,4,96,713,412242,K000367,MN,,b'Klobuchar'
98,3,97,721,400415,V000128,MD,,b'Van Hollen'
99,2,98,735,412598,B001288,NJ,,b'Booker'
100,1,99,907,412490,B001277,CT,,b'Blumenthal'
