rank_from_low,rank_from_high,percentile,leadership,id,bioguide_id,state,district,name
1,100,0,0.0,412668,T000476,NC,,b'Tillis'
2,99,1,0.009138882553072823,300089,S000320,AL,,b'Shelby'
3,98,2,0.11847803447419279,400357,S000033,VT,,b'Sanders'
4,97,3,0.12347121855533226,300023,C000567,MS,,b'Cochran'
5,96,4,0.1462124938943329,412322,R000584,ID,,b'Risch'
6,95,5,0.15439357947693902,402675,C000542,IN,,b'Coats'
7,94,6,0.1727506282907943,412666,P000612,GA,,b'Perdue'
8,93,7,0.18385675639321622,412281,H001046,NM,,b'Heinrich'
9,92,8,0.18698918913911258,412669,R000605,SD,,b'Rounds'
10,91,9,0.2160910723721601,412545,K000383,ME,,b'King'
11,90,10,0.2200676830231347,412582,K000384,VA,,b'Kaine'
12,89,11,0.253707900408755,412665,S001198,AK,,b'Sullivan'
13,88,12,0.266048305046391,412305,P000595,MI,,b'Peters'
14,87,13,0.29147172123128895,412243,M001170,MO,,b'McCaskill'
15,86,14,0.29183438535428874,412330,B001267,CO,,b'Bennet'
16,85,15,0.2929526727459498,412205,D000607,IN,,b'Donnelly'
17,84,16,0.293970275342844,412391,M001183,WV,,b'Manchin'
18,83,17,0.3085648027933872,412194,M001169,CT,,b'Murphy'
19,82,18,0.31402427093688945,412671,S001197,NE,,b'Sasse'
20,81,19,0.3200369855959317,412464,L000575,OK,,b'Lankford'
21,80,20,0.33880705792299964,412549,D000618,MT,,b'Daines'
22,79,21,0.3435469275488315,300082,R000146,NV,,b'Reid'
23,78,22,0.3438648319257012,412508,C001095,AR,,b'Cotton'
24,77,23,0.3619609565754559,412321,W000805,VA,,b'Warner'
25,76,24,0.3867499615170857,412325,M001176,OR,,b'Merkley'
26,75,25,0.3891302578319258,412542,W000817,MA,,b'Warren'
27,74,26,0.40046349334349424,412406,G000562,CO,,b'Gardner'
28,73,27,0.4080328979930845,300011,B000711,CA,,b'Boxer'
29,72,28,0.41574714138149577,412507,S001194,HI,,b'Schatz'
30,71,29,0.4356989307052766,300038,D000563,IL,,b'Durbin'
31,70,30,0.43824964951010265,300087,S000148,NY,,b'Schumer'
32,69,31,0.4413985814346818,412378,F000457,MN,,b'Franken'
33,68,32,0.4433461279649863,300073,M000702,MD,,b'Mikulski'
34,67,33,0.4475029662536192,412269,C001075,LA,,b'Cassidy'
35,66,34,0.4516914847801051,300088,S001141,AL,,b'Sessions'
36,65,35,0.4549844492261759,412390,C001088,DE,,b'Coons'
37,64,36,0.45822984036035536,400061,C001047,WV,,b'Capito'
38,63,37,0.4587448018858195,300018,C000127,WA,,b'Cantwell'
39,62,38,0.46129023812476044,300093,S000770,MI,,b'Stabenow'
40,61,39,0.4625546645065068,400253,M000133,MA,,b'Markey'
41,60,40,0.4637696066600295,300071,M000303,AZ,,b'McCain'
42,59,41,0.4679657141646821,300047,G000359,SC,,b'Graham'
43,58,42,0.4736035951589211,412247,W000802,RI,,b'Whitehouse'
44,57,43,0.4767533949778705,300075,M001153,AK,,b'Murkowski'
45,56,44,0.4781635384039585,300081,R000122,RI,,b'Reed'
46,55,45,0.4808429311805795,412244,T000464,MT,,b'Tester'
47,54,46,0.4889173085521299,412494,H001061,ND,,b'Hoeven'
48,53,47,0.4891965792389977,412556,F000463,NE,,b'Fischer'
49,52,48,0.4934546171840105,400013,B001230,WI,,b'Baldwin'
50,51,49,0.4990843006033346,300065,L000174,VT,,b'Leahy'
51,50,50,0.5009145748565796,412667,E000295,IA,,b'Ernst'
52,49,51,0.5076773247751943,400054,B001135,NC,,b'Burr'
53,48,52,0.5196158369321012,412598,B001288,NJ,,b'Booker'
54,47,53,0.5205179405543395,400413,U000039,NM,,b'Udall'
55,46,54,0.5277747939528574,412242,K000367,MN,,b'Klobuchar'
56,45,55,0.5355683586181297,412573,C001098,TX,,b'Cruz'
57,44,56,0.5382267159808412,300041,E000285,WY,,b'Enzi'
58,43,57,0.5394627468723915,412218,H001041,NV,,b'Heller'
59,42,58,0.5516409055796312,412492,P000603,KY,,b'Paul'
60,41,59,0.5524010776166992,412496,J000293,WI,,b'Johnson'
61,40,60,0.5546259833984329,300083,R000307,KS,,b'Roberts'
62,39,61,0.5603319992760302,300030,C000880,ID,,b'Crapo'
63,38,62,0.5671613367484009,300055,I000024,OK,,b'Inhofe'
64,37,63,0.5794059455726578,412200,H001042,HI,,b'Hirono'
65,36,64,0.5807253009600578,400408,T000461,PA,,b'Toomey'
66,35,65,0.5815744874361694,400432,W000437,MS,,b'Wicker'
67,34,66,0.5917866318969673,300076,M001111,WA,,b'Murray'
68,33,67,0.5948005954345442,412554,H001069,ND,,b'Heitkamp'
69,32,68,0.6065852351638039,300019,C000174,DE,,b'Carper'
70,31,69,0.6075754047171469,412223,G000555,NY,,b'Gillibrand'
71,30,70,0.6126550373090217,400040,B001236,AR,,b'Boozman'
72,29,71,0.638997068854252,400284,M000934,KS,,b'Moran'
73,28,72,0.6499157184515059,412323,S001181,NH,,b'Shaheen'
74,27,73,0.6534276996616118,412251,B001261,WY,,b'Barrasso'
75,26,74,0.6573134260798192,400134,F000444,AZ,,b'Flake'
76,25,75,0.6678586443973578,412495,L000577,UT,,b'Lee'
77,24,76,0.6680242549038541,400194,I000055,GA,,b'Isakson'
78,23,77,0.6683006368938185,412248,C001071,TN,,b'Corker'
79,22,78,0.6839383667961871,412490,B001277,CT,,b'Blumenthal'
80,21,79,0.6892699858442157,412471,S001184,SC,,b'Scott'
81,20,80,0.6967111895461663,412491,R000595,FL,,b'Rubio'
82,19,81,0.7024563279690081,300025,C001035,ME,,b'Collins'
83,18,82,0.7028488606186997,412493,A000368,NH,,b'Ayotte'
84,17,83,0.7088712343155247,400272,M000639,NJ,,b'Menendez'
85,16,84,0.7156688207169205,400222,K000360,IL,,b'Kirk'
86,15,85,0.7230704827039094,412246,C001070,PA,,b'Casey'
87,14,86,0.7279464062024914,300078,N000032,FL,,b'Nelson'
88,13,87,0.7422301149499175,400325,P000449,OH,,b'Portman'
89,12,88,0.7490509735638119,400050,B000944,OH,,b'Brown'
90,11,89,0.7515951769536834,400034,B000575,MO,,b'Blunt'
91,10,90,0.7548024687814616,400546,T000250,SD,,b'Thune'
92,9,91,0.7637162079160562,400418,V000127,LA,,b'Vitter'
93,8,92,0.7813435910941324,300043,F000062,CA,,b'Feinstein'
94,7,93,0.7838709786500256,300100,W000779,OR,,b'Wyden'
95,6,94,0.7840922844348907,400064,C000141,MD,,b'Cardin'
96,5,95,0.7919327928221567,300002,A000360,TN,,b'Alexander'
97,4,96,0.8251985063330428,300027,C001056,TX,,b'Cornyn'
98,3,97,0.8869270592280452,300048,G000386,IA,,b'Grassley'
99,2,98,0.9058180887265196,300052,H000338,UT,,b'Hatch'
100,1,99,1.0,300072,M000355,KY,,b'McConnell'
