rank_from_low,rank_from_high,percentile,missed-votes,id,bioguide_id,state,district,name
1,99,0,0.0,300025,C001035,ME,,b'Collins'
1,99,0,0.0,300048,G000386,IA,,b'Grassley'
3,98,2,0.211,412244,T000464,MT,,b'Tester'
4,95,3,0.316,300019,C000174,DE,,b'Carper'
4,95,3,0.316,300038,D000563,IL,,b'Durbin'
4,95,3,0.316,300081,R000122,RI,,b'Reed'
7,94,6,0.527,412681,C001113,NV,,b'Cortez Masto'
8,89,7,0.632,400040,B001236,AR,,b'Boozman'
8,89,7,0.632,412390,C001088,DE,,b'Coons'
8,89,7,0.632,412545,K000383,ME,,b'King'
8,89,7,0.632,412464,L000575,OK,,b'Lankford'
8,89,7,0.632,412542,W000817,MA,,b'Warren'
13,87,12,0.843,412200,H001042,HI,,b'Hirono'
13,87,12,0.843,300093,S000770,MI,,b'Stabenow'
15,83,14,0.948,412223,G000555,NY,,b'Gillibrand'
15,83,14,0.948,412680,H001076,NH,,b'Hassan'
15,83,14,0.948,412495,L000577,UT,,b'Lee'
15,83,14,0.948,400546,T000250,SD,,b'Thune'
19,78,18,1.054,400050,B000944,OH,,b'Brown'
19,78,18,1.054,300018,C000127,WA,,b'Cantwell'
19,78,18,1.054,400064,C000141,MD,,b'Cardin'
19,78,18,1.054,412742,S001203,MN,,b'Smith'
19,78,18,1.054,300100,W000779,OR,,b'Wyden'
24,77,23,1.159,400013,B001230,WI,,b'Baldwin'
25,76,24,1.162,456856,P000145,CA,,b'Padilla'
26,73,25,1.264,412242,K000367,MN,,b'Klobuchar'
26,73,25,1.264,400253,M000133,MA,,b'Markey'
26,73,25,1.264,412247,W000802,RI,,b'Whitehouse'
29,69,28,1.475,412490,B001277,CT,,b'Blumenthal'
29,69,28,1.475,412246,C001070,PA,,b'Casey'
29,69,28,1.475,300087,S000148,NY,,b'Schumer'
29,69,28,1.475,400432,W000437,MS,,b'Wicker'
33,67,32,1.686,412840,H001089,MO,,b'Hawley'
33,67,32,1.686,412507,S001194,HI,,b'Schatz'
35,63,34,1.791,412508,C001095,AR,,b'Cotton'
35,63,34,1.791,300030,C000880,ID,,b'Crapo'
35,63,34,1.791,412305,P000595,MI,,b'Peters'
35,63,34,1.791,412321,W000805,VA,,b'Warner'
39,57,38,2.002,412330,B001267,CO,,b'Bennet'
39,57,38,2.002,456794,K000377,AZ,,b'Kelly'
39,57,38,2.002,412194,M001169,CT,,b'Murphy'
39,57,38,2.002,412471,S001184,SC,,b'Scott'
39,57,38,2.002,412838,S001217,FL,,b'Scott'
39,57,38,2.002,456796,T000278,AL,,b'Tuberville'
45,56,44,2.107,412533,D000622,IL,,b'Duckworth'
46,52,45,2.424,412281,H001046,NM,,b'Heinrich'
46,52,45,2.424,412704,M001198,KS,,b'Marshall'
46,52,45,2.424,300072,M000355,KY,,b'McConnell'
46,52,45,2.424,412715,R000608,NV,,b'Rosen'
50,51,49,2.529,412428,Y000064,IN,,b'Young'
51,50,50,2.634,412598,B001288,NJ,,b'Booker'
52,48,51,2.74,412839,B001310,IN,,b'Braun'
52,48,51,2.74,456797,H000273,CO,,b'Hickenlooper'
54,44,53,2.845,412269,C001075,LA,,b'Cassidy'
54,44,53,2.845,456798,H000601,TN,,b'Hagerty'
54,44,53,2.845,412494,H001061,ND,,b'Hoeven'
54,44,53,2.845,300076,M001111,WA,,b'Murray'
58,43,57,3.161,400061,C001047,WV,,b'Capito'
59,40,58,3.267,412667,E000295,IA,,b'Ernst'
59,40,58,3.267,412556,F000463,NE,,b'Fischer'
59,40,58,3.267,400272,M000639,NJ,,b'Menendez'
62,39,61,3.477,412582,K000384,VA,,b'Kaine'
63,38,62,3.793,412509,S001191,AZ,,b'Sinema'
64,37,63,4.004,412325,M001176,OR,,b'Merkley'
65,35,64,4.11,412743,H001079,MS,,b'Hyde-Smith'
65,35,64,4.11,400325,P000449,OH,,b'Portman'
67,34,66,4.118,456857,O000174,GA,,b'Ossoff'
68,33,67,4.742,412391,M001183,WV,,b'Manchin'
69,32,68,4.847,412841,R000615,UT,,b'Romney'
70,31,69,4.953,412323,S001181,NH,,b'Shaheen'
71,30,70,4.963,456858,W000790,GA,,b'Warnock'
72,29,71,5.163,400415,V000128,MD,,b'Van Hollen'
73,28,72,5.269,412491,R000595,FL,,b'Rubio'
74,27,73,5.374,412294,L000571,WY,,b'Lummis'
75,26,74,5.479,412549,D000618,MT,,b'Daines'
76,23,75,5.69,412496,J000293,WI,,b'Johnson'
76,23,75,5.69,412679,K000393,LA,,b'Kennedy'
76,23,75,5.69,412665,S001198,AK,,b'Sullivan'
79,21,78,5.796,400032,B001243,TN,,b'Blackburn'
79,21,78,5.796,412671,S001197,NE,,b'Sasse'
81,19,80,6.217,300027,C001056,TX,,b'Cornyn'
81,19,80,6.217,412573,C001098,TX,,b'Cruz'
83,17,82,6.533,412492,P000603,KY,,b'Paul'
83,17,82,6.533,412668,T000476,NC,,b'Tillis'
85,16,84,6.639,300065,L000174,VT,,b'Leahy'
86,15,85,6.849,300075,M001153,AK,,b'Murkowski'
87,14,86,7.06,412322,R000584,ID,,b'Risch'
88,13,87,7.271,300089,S000320,AL,,b'Shelby'
89,12,88,7.903,412293,L000570,NM,,b'Luj\xc3\xa1n'
90,10,89,8.746,400034,B000575,MO,,b'Blunt'
90,10,89,8.746,300047,G000359,SC,,b'Graham'
92,9,91,9.378,400357,S000033,VT,,b'Sanders'
93,8,92,10.011,412251,B001261,WY,,b'Barrasso'
94,7,93,10.221,400284,M000934,KS,,b'Moran'
95,6,94,10.643,300055,I000024,OK,,b'Inhofe'
96,5,95,11.064,400408,T000461,PA,,b'Toomey'
97,4,96,11.907,300043,F000062,CA,,b'Feinstein'
98,3,97,12.856,412555,C001096,ND,,b'Cramer'
99,2,98,13.909,400054,B001135,NC,,b'Burr'
100,1,99,21.707,412669,R000605,SD,,b'Rounds'
