rank_from_low,rank_from_high,percentile,cosponsors,id,bioguide_id,state,district,name
1,100,0,5,300089,S000320,AL,,b'Shelby'
2,99,1,36,412841,R000615,UT,,b'Romney'
3,98,2,51,412671,S001197,NE,,b'Sasse'
4,95,3,55,412840,H001089,MO,,b'Hawley'
4,95,3,55,456797,H000273,CO,,b'Hickenlooper'
4,95,3,55,456796,T000278,AL,,b'Tuberville'
7,94,6,74,412294,L000571,WY,,b'Lummis'
8,92,7,97,412555,C001096,ND,,b'Cramer'
8,92,7,97,456794,K000377,AZ,,b'Kelly'
10,91,9,100,400034,B000575,MO,,b'Blunt'
11,90,10,119,300065,L000174,VT,,b'Leahy'
12,88,11,133,412743,H001079,MS,,b'Hyde-Smith'
12,88,11,133,412496,J000293,WI,,b'Johnson'
14,87,13,144,412679,K000393,LA,,b'Kennedy'
15,86,14,145,412494,H001061,ND,,b'Hoeven'
16,85,15,149,412330,B001267,CO,,b'Bennet'
17,84,16,156,400054,B001135,NC,,b'Burr'
18,83,17,161,456857,O000174,GA,,b'Ossoff'
19,81,18,164,300019,C000174,DE,,b'Carper'
19,81,18,164,412556,F000463,NE,,b'Fischer'
21,80,20,169,300087,S000148,NY,,b'Schumer'
22,79,21,170,400408,T000461,PA,,b'Toomey'
23,78,22,175,412492,P000603,KY,,b'Paul'
24,77,23,185,412509,S001191,AZ,,b'Sinema'
25,76,24,187,412668,T000476,NC,,b'Tillis'
26,75,25,208,300072,M000355,KY,,b'McConnell'
27,74,26,212,300055,I000024,OK,,b'Inhofe'
28,73,27,218,412269,C001075,LA,,b'Cassidy'
29,72,28,219,412464,L000575,OK,,b'Lankford'
30,71,29,220,300018,C000127,WA,,b'Cantwell'
31,70,30,226,412391,M001183,WV,,b'Manchin'
32,69,31,229,412669,R000605,SD,,b'Rounds'
33,68,32,233,412545,K000383,ME,,b'King'
34,67,33,239,412293,L000570,NM,,b'Luj\xc3\xa1n'
35,66,34,242,400357,S000033,VT,,b'Sanders'
36,65,35,243,400061,C001047,WV,,b'Capito'
37,64,36,245,412194,M001169,CT,,b'Murphy'
38,63,37,248,300047,G000359,SC,,b'Graham'
39,62,38,251,412665,S001198,AK,,b'Sullivan'
40,61,39,270,412508,C001095,AR,,b'Cotton'
41,60,40,279,456798,H000601,TN,,b'Hagerty'
42,58,41,288,412305,P000595,MI,,b'Peters'
42,58,41,288,412322,R000584,ID,,b'Risch'
44,57,43,300,412680,H001076,NH,,b'Hassan'
45,55,44,303,400415,V000128,MD,,b'Van Hollen'
45,55,44,303,412321,W000805,VA,,b'Warner'
47,54,46,307,400432,W000437,MS,,b'Wicker'
48,52,47,308,300030,C000880,ID,,b'Crapo'
48,52,47,308,300081,R000122,RI,,b'Reed'
50,51,49,329,400040,B001236,AR,,b'Boozman'
51,50,50,331,412281,H001046,NM,,b'Heinrich'
52,49,51,338,412428,Y000064,IN,,b'Young'
53,48,52,344,412715,R000608,NV,,b'Rosen'
54,47,53,346,400032,B001243,TN,,b'Blackburn'
55,46,54,347,400325,P000449,OH,,b'Portman'
56,45,55,356,456856,P000145,CA,,b'Padilla'
57,44,56,367,400284,M000934,KS,,b'Moran'
58,43,57,373,412838,S001217,FL,,b'Scott'
59,41,58,380,412742,S001203,MN,,b'Smith'
59,41,58,380,400546,T000250,SD,,b'Thune'
61,39,60,382,400013,B001230,WI,,b'Baldwin'
61,39,60,382,412704,M001198,KS,,b'Marshall'
63,38,62,383,412251,B001261,WY,,b'Barrasso'
64,37,63,390,300025,C001035,ME,,b'Collins'
65,36,64,406,300075,M001153,AK,,b'Murkowski'
66,35,65,427,412247,W000802,RI,,b'Whitehouse'
67,34,66,432,300100,W000779,OR,,b'Wyden'
68,33,67,440,412549,D000618,MT,,b'Daines'
69,32,68,441,412573,C001098,TX,,b'Cruz'
70,31,69,472,412200,H001042,HI,,b'Hirono'
71,30,70,479,412839,B001310,IN,,b'Braun'
72,29,71,486,412582,K000384,VA,,b'Kaine'
73,28,72,537,300093,S000770,MI,,b'Stabenow'
74,27,73,538,412681,C001113,NV,,b'Cortez Masto'
75,26,74,539,412533,D000622,IL,,b'Duckworth'
76,25,75,542,412471,S001184,SC,,b'Scott'
77,24,76,546,412390,C001088,DE,,b'Coons'
78,23,77,551,412495,L000577,UT,,b'Lee'
79,22,78,566,412325,M001176,OR,,b'Merkley'
80,21,79,579,412507,S001194,HI,,b'Schatz'
81,20,80,600,412667,E000295,IA,,b'Ernst'
82,19,81,607,412244,T000464,MT,,b'Tester'
83,18,82,639,300027,C001056,TX,,b'Cornyn'
84,17,83,641,300043,F000062,CA,,b'Feinstein'
85,16,84,678,456858,W000790,GA,,b'Warnock'
86,15,85,679,400064,C000141,MD,,b'Cardin'
87,14,86,685,412223,G000555,NY,,b'Gillibrand'
88,13,87,686,412323,S001181,NH,,b'Shaheen'
89,12,88,688,300048,G000386,IA,,b'Grassley'
90,11,89,722,412490,B001277,CT,,b'Blumenthal'
91,10,90,729,412542,W000817,MA,,b'Warren'
92,9,91,743,300076,M001111,WA,,b'Murray'
93,8,92,767,300038,D000563,IL,,b'Durbin'
94,7,93,878,412598,B001288,NJ,,b'Booker'
95,6,94,883,400050,B000944,OH,,b'Brown'
96,5,95,899,412246,C001070,PA,,b'Casey'
97,4,96,940,412491,R000595,FL,,b'Rubio'
98,3,97,966,400253,M000133,MA,,b'Markey'
99,2,98,1113,412242,K000367,MN,,b'Klobuchar'
100,1,99,1349,400272,M000639,NJ,,b'Menendez'
