rank_from_low,rank_from_high,percentile,cosponsored,id,bioguide_id,state,district,name
1,100,0,28,456794,K000377,AZ,,b'Kelly'
2,99,1,43,300089,S000320,AL,,b'Shelby'
3,98,2,67,300072,M000355,KY,,b'McConnell'
4,97,3,111,412671,S001197,NE,,b'Sasse'
5,96,4,127,400408,T000461,PA,,b'Toomey'
6,95,5,128,412496,J000293,WI,,b'Johnson'
7,94,6,135,412492,P000603,KY,,b'Paul'
8,92,7,137,400054,B001135,NC,,b'Burr'
8,92,7,137,412841,R000615,UT,,b'Romney'
10,91,9,146,400546,T000250,SD,,b'Thune'
11,90,10,149,300041,E000285,WY,,b'Enzi'
12,89,11,152,412495,L000577,UT,,b'Lee'
13,88,12,153,300002,A000360,TN,,b'Alexander'
14,87,13,185,300047,G000359,SC,,b'Graham'
15,86,14,196,456790,L000594,GA,,b'Loeffler'
16,85,15,205,412840,H001089,MO,,b'Hawley'
17,84,16,206,412556,F000463,NE,,b'Fischer'
18,83,17,215,412679,K000393,LA,,b'Kennedy'
19,82,18,216,300030,C000880,ID,,b'Crapo'
20,81,19,219,412251,B001261,WY,,b'Barrasso'
21,80,20,222,300048,G000386,IA,,b'Grassley'
22,79,21,225,412322,R000584,ID,,b'Risch'
23,78,22,226,300083,R000307,KS,,b'Roberts'
24,77,23,236,412471,S001184,SC,,b'Scott'
25,76,24,241,412494,H001061,ND,,b'Hoeven'
26,75,25,249,400034,B000575,MO,,b'Blunt'
27,74,26,251,300055,I000024,OK,,b'Inhofe'
28,72,27,254,412269,C001075,LA,,b'Cassidy'
28,72,27,254,412666,P000612,GA,,b'Perdue'
30,71,29,255,412838,S001217,FL,,b'Scott'
31,70,30,266,400325,P000449,OH,,b'Portman'
32,69,31,267,412573,C001098,TX,,b'Cruz'
33,68,32,268,412508,C001095,AR,,b'Cotton'
34,67,33,285,412464,L000575,OK,,b'Lankford'
35,66,34,289,400284,M000934,KS,,b'Moran'
36,65,35,293,300087,S000148,NY,,b'Schumer'
37,64,36,296,412669,R000605,SD,,b'Rounds'
38,63,37,300,412743,H001079,MS,,b'Hyde-Smith'
39,62,38,301,412665,S001198,AK,,b'Sullivan'
40,60,39,302,412391,M001183,WV,,b'Manchin'
40,60,39,302,400432,W000437,MS,,b'Wicker'
42,59,41,319,412406,G000562,CO,,b'Gardner'
43,58,42,326,412507,S001194,HI,,b'Schatz'
44,57,43,329,412428,Y000064,IN,,b'Young'
45,56,44,330,300075,M001153,AK,,b'Murkowski'
46,55,45,336,300018,C000127,WA,,b'Cantwell'
47,54,46,339,412549,D000618,MT,,b'Daines'
48,53,47,340,412321,W000805,VA,,b'Warner'
49,52,48,345,400413,U000039,NM,,b'Udall'
50,51,49,348,412281,H001046,NM,,b'Heinrich'
51,50,50,353,300027,C001056,TX,,b'Cornyn'
52,49,51,362,400040,B001236,AR,,b'Boozman'
53,48,52,378,412839,B001310,IN,,b'Braun'
54,47,53,380,412667,E000295,IA,,b'Ernst'
55,46,54,401,300019,C000174,DE,,b'Carper'
56,45,55,404,400032,B001243,TN,,b'Blackburn'
57,44,56,411,412244,T000464,MT,,b'Tester'
58,42,57,420,300065,L000174,VT,,b'Leahy'
58,42,57,420,412668,T000476,NC,,b'Tillis'
60,41,59,422,400061,C001047,WV,,b'Capito'
61,40,60,434,300076,M001111,WA,,b'Murray'
62,39,61,437,412491,R000595,FL,,b'Rubio'
63,38,62,448,300093,S000770,MI,,b'Stabenow'
64,37,63,465,412194,M001169,CT,,b'Murphy'
65,36,64,472,400272,M000639,NJ,,b'Menendez'
66,35,65,475,412330,B001267,CO,,b'Bennet'
67,34,66,481,412555,C001096,ND,,b'Cramer'
68,33,67,486,412582,K000384,VA,,b'Kaine'
69,32,68,488,300081,R000122,RI,,b'Reed'
70,30,69,492,412545,K000383,ME,,b'King'
70,30,69,492,412509,S001191,AZ,,b'Sinema'
72,29,71,506,412741,J000300,AL,,b'Jones'
73,28,72,514,412681,C001113,NV,,b'Cortez Masto'
74,27,73,516,412247,W000802,RI,,b'Whitehouse'
75,26,74,523,400357,S000033,VT,,b'Sanders'
76,24,75,531,300025,C001035,ME,,b'Collins'
76,24,75,531,412305,P000595,MI,,b'Peters'
78,23,77,542,412246,C001070,PA,,b'Casey'
79,22,78,590,412715,R000608,NV,,b'Rosen'
80,21,79,598,412200,H001042,HI,,b'Hirono'
81,20,80,606,400064,C000141,MD,,b'Cardin'
82,19,81,608,412323,S001181,NH,,b'Shaheen'
83,18,82,618,412533,D000622,IL,,b'Duckworth'
84,17,83,630,412680,H001076,NH,,b'Hassan'
85,16,84,648,412390,C001088,DE,,b'Coons'
86,15,85,657,400013,B001230,WI,,b'Baldwin'
87,14,86,662,300038,D000563,IL,,b'Durbin'
88,13,87,669,300100,W000779,OR,,b'Wyden'
89,12,88,682,400050,B000944,OH,,b'Brown'
90,11,89,687,300043,F000062,CA,,b'Feinstein'
91,10,90,696,412678,H001075,CA,,b'Harris'
92,9,91,713,412742,S001203,MN,,b'Smith'
93,8,92,721,412223,G000555,NY,,b'Gillibrand'
94,7,93,758,412542,W000817,MA,,b'Warren'
95,6,94,770,412598,B001288,NJ,,b'Booker'
96,5,95,776,412325,M001176,OR,,b'Merkley'
97,4,96,789,400253,M000133,MA,,b'Markey'
98,3,97,816,400415,V000128,MD,,b'Van Hollen'
99,2,98,833,412242,K000367,MN,,b'Klobuchar'
100,1,99,1041,412490,B001277,CT,,b'Blumenthal'
