rank_from_low,rank_from_high,percentile,cosponsors,id,bioguide_id,state,district,name
1,99,0,3,300089,S000320,AL,,b'Shelby'
2,98,1,8,412743,H001079,MS,,b'Hyde-Smith'
3,97,2,37,412680,H001076,NH,,b'Hassan'
4,96,3,51,412741,J000300,AL,,b'Jones'
5,95,4,80,412545,K000383,ME,,b'King'
6,94,5,81,412669,R000605,SD,,b'Rounds'
7,93,6,90,412671,S001197,NE,,b'Sasse'
8,91,7,96,412681,C001113,NV,,b'Cortez Masto'
8,91,7,96,412666,P000612,GA,,b'Perdue'
10,89,9,98,412281,H001046,NM,,b'Heinrich'
10,89,9,98,412679,K000393,LA,,b'Kennedy'
12,88,11,103,412668,T000476,NC,,b'Tillis'
13,87,12,105,412508,C001095,AR,,b'Cotton'
14,86,13,108,412742,S001203,MN,,b'Smith'
15,85,14,110,400415,V000128,MD,,b'Van Hollen'
16,84,15,114,400061,C001047,WV,,b'Capito'
17,83,16,129,300041,E000285,WY,,b'Enzi'
18,82,17,142,412464,L000575,OK,,b'Lankford'
19,80,18,147,412556,F000463,NE,,b'Fischer'
19,80,18,147,300087,S000148,NY,,b'Schumer'
21,79,20,149,412330,B001267,CO,,b'Bennet'
22,78,21,153,412406,G000562,CO,,b'Gardner'
23,77,22,156,412492,P000603,KY,,b'Paul'
24,75,23,157,400040,B001236,AR,,b'Boozman'
24,75,23,157,412665,S001198,AK,,b'Sullivan'
26,74,25,159,412471,S001184,SC,,b'Scott'
27,73,26,161,400284,M000934,KS,,b'Moran'
28,72,27,165,300055,I000024,OK,,b'Inhofe'
29,71,28,168,412494,H001061,ND,,b'Hoeven'
30,70,29,174,400357,S000033,VT,,b'Sanders'
31,69,30,176,300065,L000174,VT,,b'Leahy'
32,68,31,177,412205,D000607,IN,,b'Donnelly'
33,67,32,178,412243,M001170,MO,,b'McCaskill'
34,65,33,180,400054,B001135,NC,,b'Burr'
34,65,33,180,300019,C000174,DE,,b'Carper'
36,64,35,193,412305,P000595,MI,,b'Peters'
37,63,36,202,412667,E000295,IA,,b'Ernst'
38,61,37,205,300002,A000360,TN,,b'Alexander'
38,61,37,205,412428,Y000064,IN,,b'Young'
40,60,39,208,412194,M001169,CT,,b'Murphy'
41,59,40,215,300075,M001153,AK,,b'Murkowski'
42,58,41,219,412322,R000584,ID,,b'Risch'
43,57,42,224,300093,S000770,MI,,b'Stabenow'
44,56,43,229,300083,R000307,KS,,b'Roberts'
45,55,44,239,412251,B001261,WY,,b'Barrasso'
46,54,45,242,412248,C001071,TN,,b'Corker'
47,53,46,250,412495,L000577,UT,,b'Lee'
48,52,47,257,412549,D000618,MT,,b'Daines'
49,51,48,258,412391,M001183,WV,,b'Manchin'
50,50,49,260,412533,D000622,IL,,b'Duckworth'
51,49,51,264,300081,R000122,RI,,b'Reed'
52,48,52,265,300047,G000359,SC,,b'Graham'
53,45,53,275,300018,C000127,WA,,b'Cantwell'
53,45,53,275,412269,C001075,LA,,b'Cassidy'
53,45,53,275,400546,T000250,SD,,b'Thune'
56,44,56,281,412496,J000293,WI,,b'Johnson'
57,43,57,285,400408,T000461,PA,,b'Toomey'
58,42,58,291,412573,C001098,TX,,b'Cruz'
59,41,59,294,400413,U000039,NM,,b'Udall'
60,40,60,296,412321,W000805,VA,,b'Warner'
61,39,61,301,412582,K000384,VA,,b'Kaine'
62,38,62,310,400134,F000444,AZ,,b'Flake'
63,37,63,312,300030,C000880,ID,,b'Crapo'
64,36,64,323,300072,M000355,KY,,b'McConnell'
65,35,65,336,412247,W000802,RI,,b'Whitehouse'
66,34,66,349,412223,G000555,NY,,b'Gillibrand'
67,33,67,355,400034,B000575,MO,,b'Blunt'
68,32,68,358,412554,H001069,ND,,b'Heitkamp'
69,31,69,363,412678,H001075,CA,,b'Harris'
70,30,70,364,400432,W000437,MS,,b'Wicker'
71,29,71,384,300078,N000032,FL,,b'Nelson'
72,28,72,386,400194,I000055,GA,,b'Isakson'
73,27,73,390,412507,S001194,HI,,b'Schatz'
74,26,74,396,412323,S001181,NH,,b'Shaheen'
75,24,75,401,412390,C001088,DE,,b'Coons'
75,24,75,401,400325,P000449,OH,,b'Portman'
77,23,77,407,412325,M001176,OR,,b'Merkley'
78,22,78,423,300038,D000563,IL,,b'Durbin'
79,21,79,433,412200,H001042,HI,,b'Hirono'
80,20,80,438,412218,H001041,NV,,b'Heller'
81,18,81,442,412598,B001288,NJ,,b'Booker'
81,18,81,442,412246,C001070,PA,,b'Casey'
83,17,83,449,412490,B001277,CT,,b'Blumenthal'
84,16,84,500,300100,W000779,OR,,b'Wyden'
85,15,85,503,412242,K000367,MN,,b'Klobuchar'
86,14,86,505,412244,T000464,MT,,b'Tester'
87,13,87,522,400253,M000133,MA,,b'Markey'
88,12,88,557,400013,B001230,WI,,b'Baldwin'
89,11,89,564,412542,W000817,MA,,b'Warren'
90,10,90,568,300025,C001035,ME,,b'Collins'
91,9,91,584,400050,B000944,OH,,b'Brown'
92,8,92,596,300043,F000062,CA,,b'Feinstein'
93,7,93,638,400272,M000639,NJ,,b'Menendez'
94,6,94,642,300076,M001111,WA,,b'Murray'
95,5,95,681,412491,R000595,FL,,b'Rubio'
96,4,96,784,300052,H000338,UT,,b'Hatch'
97,3,97,865,300027,C001056,TX,,b'Cornyn'
98,2,98,883,300048,G000386,IA,,b'Grassley'
99,1,99,905,400064,C000141,MD,,b'Cardin'
