"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"F000479","John","Fetterman","Karl","John","Fetterman","Karl",,,,,"1969",,"[{""position"":""Senator"",""congressNumber"":118,""stateName"":""PA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"F000463","Debra","Fischer",,"Debra","Fischer",,"Deb",,,,"1951",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""NE"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""NE"",""parties"":[""Republican""],""electionCirca"":false}]"
"F000444","Jeff","Flake",,"Jeff","Flake",,,,,,"1962",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""AZ"",""parties"":[""Republican""]}]"
"F000457","Al","Franken",,"Al","Franken",,,,,,"1951",,"[{""position"":""Senator"",""congressNumber"":111,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""MN"",""parties"":[""Democrat""],""electionCirca"":false}]"
"G000562","Cory","Gardner",,"Cory","Gardner",,,,,,"1974",,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""CO"",""parties"":[""Republican""]}]"
"G000555","Kirsten","Gillibrand",,"Kirsten","Gillibrand",,,,,,"1966",,"[{""position"":""Representative"",""congressNumber"":110,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":112,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""NY"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""NY"",""parties"":[""Democrat""],""electionCirca"":false}]"
"G000359","Lindsey","Graham","O.","Lindsey","Graham","O.",,,,,"1955",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""SC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""SC"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""SC"",""parties"":[""Republican""],""electionCirca"":false}]"
"G000386","Charles","Grassley","Ernest","Charles","Grassley","Ernest",,,,,"1933",,"[{""position"":""Representative"",""congressNumber"":94,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":95,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":96,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":98,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":100,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""IA"",""parties"":[""Republican""],""electionCirca"":false}]"
"H000601","William","Hagerty","Francis","William","Hagerty","Francis","Bill",,,,"1959",,"[{""position"":""Senator"",""congressNumber"":117,""stateName"":""TN"",""parties"":[""Republican""],""electionDate"":""2020-11-03"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""TN"",""parties"":[""Republican""],""electionCirca"":false}]"
"H001075","Kamala","Harris","Devi","Kamala","Harris","Devi",,,,,"1964",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"H001076","Margaret","Hassan","Wood","Margaret","Hassan","Wood","Maggie",,,,"1958",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""NH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""NH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""NH"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""NH"",""parties"":[""Democrat""],""electionCirca"":false}]"
"H000338","Orrin","Hatch","Grant","Orrin","Hatch","Grant",,,,,"1934","2022","[{""position"":""Senator"",""congressNumber"":98,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":96,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":101,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":102,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":95,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":97,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":100,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":99,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""UT"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""UT"",""parties"":[""Republican""]}]"
"H001089","Joshua","Hawley","David","Joshua","Hawley","David",,,,,"1979",,"[{""position"":""Senator"",""congressNumber"":116,""stateName"":""MO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""MO"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""MO"",""parties"":[""Republican""],""electionCirca"":false}]"
"H001046","Martin","Heinrich",,"Martin","Heinrich",,,,,,"1971",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NM"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""NM"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""NM"",""parties"":[""Democrat""],""electionCirca"":false}]"
"H001069","Mary","Heitkamp","Kathryn","Mary","Heitkamp","Kathryn","Heidi",,,,"1955",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""ND"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""ND"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""ND"",""parties"":[""Democrat""]}]"
"H001041","Dean","Heller",,"Dean","Heller",,,,,,"1960",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""NV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""NV"",""parties"":[""Republican""],""electionCirca"":false}]"
"H000273","John","Hickenlooper","Wright","John","Hickenlooper","Wright",,,,,"1952",,"[{""position"":""Senator"",""congressNumber"":117,""stateName"":""CO"",""parties"":[""Democrat""],""electionDate"":""2020-11-03"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""CO"",""parties"":[""Democrat""],""electionCirca"":false}]"
"H001042","Mazie","Hirono",,"Mazie","Hirono",,,,,,"1947",,"[{""position"":""Representative"",""congressNumber"":110,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""HI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""HI"",""parties"":[""Democrat""],""electionCirca"":false}]"
"H001061","John","Hoeven",,"John","Hoeven",,,,,,"1957",,"[{""position"":""Senator"",""congressNumber"":112,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""ND"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""ND"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""ND"",""parties"":[""Republican""],""electionCirca"":false}]"
"H001079","Cindy","Hyde-Smith",,"Cindy","Hyde-Smith",,,,,,"1959",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""MS"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""MS"",""parties"":[""Republican""],""electionCirca"":false}]"
"I000024","James","Inhofe","Mountain","James","Inhofe","Mountain",,,,,"1934",,"[{""position"":""Representative"",""congressNumber"":100,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""OK"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":103,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""OK"",""parties"":[""Republican""],""electionCirca"":false}]"
"I000055","Johnny","Isakson",,"Johnny","Isakson",,,,,,"1944","2021","[{""position"":""Representative"",""congressNumber"":106,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""GA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""GA"",""parties"":[""Republican""]}]"
"J000293","Ron","Johnson",,"Ron","Johnson",,,,,,"1955",,"[{""position"":""Senator"",""congressNumber"":112,""stateName"":""WI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""WI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""WI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""WI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""WI"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WI"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""WI"",""parties"":[""Republican""],""electionCirca"":false}]"
"J000300","Gordon","Jones","Douglas","Gordon","Jones","Douglas","Doug",,,,"1954",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""AL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""AL"",""parties"":[""Democrat""]}]"
"K000384","Timothy","Kaine","Michael","Timothy","Kaine","Michael","Tim",,,,"1958",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""VA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""VA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""VA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""VA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""VA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""VA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"K000377","Mark","Kelly","Edward","Mark","Kelly","Edward",,,,,"1964",,"[{""position"":""Senator"",""congressNumber"":116,""stateName"":""AZ"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":117,""stateName"":""AZ"",""parties"":[""Democrat""],""electionDate"":""2020-11-03"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""AZ"",""parties"":[""Democrat""],""electionCirca"":false}]"
"K000393","John","Kennedy","Neely","John","Kennedy","Neely",,,,,"1951",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""LA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""LA"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""LA"",""parties"":[""Republican""],""electionCirca"":false}]"
"K000383","Angus","King","Stanley","Angus","King","Stanley",,,"Jr.",,"1944",,"[{""position"":""Senator"",""congressNumber"":113,""stateName"":""ME"",""parties"":[""Independent""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""ME"",""parties"":[""Independent""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""ME"",""parties"":[""Independent""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""ME"",""parties"":[""Independent""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""ME"",""parties"":[""Independent""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""ME"",""parties"":[""Independent""],""electionCirca"":false}]"
"K000360","Mark","Kirk","Steven","Mark","Kirk","Steven",,,,,"1959",,"[{""position"":""Representative"",""congressNumber"":107,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""IL"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":113,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""IL"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""IL"",""parties"":[""Republican""]}]"
"K000367","Amy","Klobuchar",,"Amy","Klobuchar",,,,,,"1960",,"[{""position"":""Senator"",""congressNumber"":110,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""MN"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""MN"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""MN"",""parties"":[""Democrat""],""electionCirca"":false}]"
"K000352","Jon","Kyl","Llewellyn","Jon","Kyl","Llewellyn",,,,,"1942",,"[{""position"":""Representative"",""congressNumber"":101,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""AZ"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""AZ"",""parties"":[""Republican""]}]"
"L000575","James","Lankford",,"James","Lankford",,,,,,"1968",,"[{""position"":""Representative"",""congressNumber"":112,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""OK"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""OK"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""OK"",""parties"":[""Republican""],""electionCirca"":false}]"
