"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"B001236","John","Boozman",,"John","Boozman",,,,,,"1950",,"[{""position"":""Representative"",""congressNumber"":107,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""AR"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""AR"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""AR"",""parties"":[""Republican""],""electionCirca"":false}]"
"B000711","Barbara","Boxer",,"Barbara","Boxer",,,,,,"1940",,"[{""position"":""Representative"",""congressNumber"":98,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":99,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":103,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":104,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":105,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":106,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""CA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""CA"",""parties"":[""Democrat""]}]"
"B001310","Michael","Braun",,"Michael","Braun",,,,,,"1954",,"[{""position"":""Senator"",""congressNumber"":116,""stateName"":""IN"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""IN"",""parties"":[""Republican""],""electionCirca"":false}]"
"B001319","Katie","Britt","Boyd","Katie","Britt","Boyd",,,,,"1982",,"[{""position"":""Senator"",""congressNumber"":118,""stateName"":""AL"",""parties"":[""Republican""],""electionCirca"":false}]"
"B000944","Sherrod","Brown",,"Sherrod","Brown",,,,,,"1952",,"[{""position"":""Representative"",""congressNumber"":107,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":104,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""OH"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""OH"",""parties"":[""Democrat""],""electionCirca"":false}]"
"B001135","Richard","Burr","M.","Richard","Burr","M.",,,,,"1955",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""NC"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""NC"",""parties"":[""Republican""],""electionCirca"":false}]"
"B001320","Laphonza","Butler","Romanique","Laphonza","Butler","Romanique",,,,,"1979",,"[{""position"":""Senator"",""congressNumber"":118,""stateName"":""CA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"C000127","Maria","Cantwell","E.","Maria","Cantwell","E.",,,,,"1958",,"[{""position"":""Senator"",""congressNumber"":116,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":107,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":108,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":109,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""WA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WA"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""WA"",""parties"":[""Democrat""],""electionCirca"":false}]"
"C001047","Shelley","Capito","Moore","Shelley","Capito","Moore",,,,,"1953",,"[{""position"":""Senator"",""congressNumber"":115,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":111,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":112,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":113,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Representative"",""congressNumber"":110,""stateName"":""WV"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""WV"",""parties"":[""Republican""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""WV"",""parties"":[""Republican""],""electionCirca"":false}]"
"C000141","Benjamin","Cardin","Louis","Benjamin","Cardin","Louis",,,,,"1943",,"[{""position"":""Representative"",""congressNumber"":104,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":101,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":115,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":108,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":110,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":112,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":114,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":116,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":113,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":103,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":109,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":107,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":111,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":102,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":100,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":105,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Representative"",""congressNumber"":106,""stateName"":""MD"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":117,""stateName"":""MD"",""parties"":[""Democrat""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":118,""stateName"":""MD"",""parties"":[""Democrat""],""electionCirca"":false}]"
