,Senator,Age,Gender,Emotion (Majority),Race (Majority),Valence_m,Normalized_Valence_m,Weighted_Valence_m
10,Bernard Sanders ,"[49, 27, 39, 54, 35, 38, 39, 58]","[{'Woman': 0.030981877353042364, 'Man': 99.96901750564575}, {'Woman': 17.329874634742737, 'Man': 82.6701283454895}, {'Woman': 0.06932377000339329, 'Man': 99.93067979812622}, {'Woman': 0.46662851236760616, 'Man': 99.5333731174469}, {'Woman': 0.21314986515790224, 'Man': 99.78684186935425}, {'Woman': 0.010279563866788521, 'Man': 99.98972415924072}, {'Woman': 0.03871737571898848, 'Man': 99.96128678321838}, {'Woman': 0.04625546280294657, 'Man': 99.9537467956543}]",fear,white,-28.026727775957163,33.00666880854692,-4.48605755759368
11,Jon Ossoff ,"[26, 29, 31, 32, 28, 28, 28]","[{'Woman': 0.011358594929333776, 'Man': 99.98863935470581}, {'Woman': 0.049720925744622946, 'Man': 99.95027780532837}, {'Woman': 0.02100716665154323, 'Man': 99.97898936271667}, {'Woman': 0.0033360345696564764, 'Man': 99.99666213989258}, {'Woman': 23.68844300508499, 'Man': 76.3115644454956}, {'Woman': 0.006200572533998638, 'Man': 99.99380111694336}, {'Woman': 0.00016129619098137482, 'Man': 99.99983310699463}]",neutral,white,-15.574537822943023,28.245679337561036,-0.4921535704316621
12,Jon Tester ,"[42, 52, 43, 29, 41, 33, 25]","[{'Woman': 0.038185520679689944, 'Man': 99.96181726455688}, {'Woman': 0.014913154882378876, 'Man': 99.9850869178772}, {'Woman': 0.6627029273658991, 'Man': 99.33730363845825}, {'Woman': 0.014839236973784864, 'Man': 99.98515844345093}, {'Woman': 2.257370948791504, 'Man': 97.74263501167297}, {'Woman': 0.03525649372022599, 'Man': 99.96473789215088}, {'Woman': 0.014066751464270055, 'Man': 99.98593330383301}]",happy,white,7.295542427041432,44.962798498801206,11.986872137388449
13,Dianne Feinstein ,"[50, 36, 55, 40, 52, 37, 42]","[{'Woman': 99.79965090751648, 'Man': 0.2003405475988984}, {'Woman': 0.13606753200292587, 'Man': 99.86392855644226}, {'Woman': 99.99953508377075, 'Man': 0.00046121454033709597}, {'Woman': 3.393147513270378, 'Man': 96.60685658454895}, {'Woman': 97.92656302452087, 'Man': 2.073436416685581}, {'Woman': 32.07226097583771, 'Man': 67.92774200439453}, {'Woman': 99.99998807907104, 'Man': 1.5634603300895833e-05}]",neutral,white,-12.103209608972398,23.169079025374646,-0.13621088975777415
14,Todd Young ,"[28, 42, 35, 46, 38, 40, 42, 45]","[{'Woman': 37.56598234176636, 'Man': 62.43401765823364}, {'Woman': 0.000516926320415223, 'Man': 99.99948740005493}, {'Woman': 0.0006782827767892741, 'Man': 99.99932050704956}, {'Woman': 0.0005682120900019072, 'Man': 99.99942779541016}, {'Woman': 66.84826016426086, 'Man': 33.15173089504242}, {'Woman': 0.0001045489057105442, 'Man': 99.9998927116394}, {'Woman': 0.0004562979938782519, 'Man': 99.9995470046997}, {'Woman': 0.00030661710752610816, 'Man': 99.99969005584717}]",happy,white,32.031844730434486,58.0709576894709,24.479533698672086
15,John Kennedy ,"[33, 43, 48, 25, 30, 44, 41]","[{'Woman': 0.030405333382077515, 'Man': 99.96960163116455}, {'Woman': 10.156212002038956, 'Man': 89.84379172325134}, {'Woman': 7.601497322320938, 'Man': 92.39850640296936}, {'Woman': 93.20996403694153, 'Man': 6.7900314927101135}, {'Woman': 0.001147902094089659, 'Man': 99.99885559082031}, {'Woman': 1.399089302867651, 'Man': 98.60091805458069}, {'Woman': 0.02432168403174728, 'Man': 99.97567534446716}]",happy,white,-0.016954873333125318,39.295011962682665,7.931638558023515
16,Lindsey Graham ,"[39, 51, 40, 40, 50, 35, 46]","[{'Woman': 1.8745671957731247, 'Man': 98.12543392181396}, {'Woman': 0.2631860552355647, 'Man': 99.73681569099426}, {'Woman': 36.56984269618988, 'Man': 63.43016028404236}, {'Woman': 0.2579048741608858, 'Man': 99.74209070205688}, {'Woman': 0.2885909518226981, 'Man': 99.71140623092651}, {'Woman': 33.1827312707901, 'Man': 66.81726574897766}, {'Woman': 0.7741473149508238, 'Man': 99.22584891319275}]",happy,white,12.819121902647137,44.7973744786175,14.15172618723886
17,Ron Wyden ,"[43, 36, 26, 37, 49, 41, 39]","[{'Woman': 0.17856743652373552, 'Man': 99.82143640518188}, {'Woman': 0.06945040076971054, 'Man': 99.93054866790771}, {'Woman': 0.0408501218771562, 'Man': 99.95915293693542}, {'Woman': 0.08662805776111782, 'Man': 99.91337656974792}, {'Woman': 0.036731440923176706, 'Man': 99.9632716178894}, {'Woman': 0.48815105110406876, 'Man': 99.5118498802185}, {'Woman': 0.2662929240614176, 'Man': 99.73370432853699}]",happy,white,15.90659637185392,56.877247556314906,17.82085705229639
18,Amy Klobuchar ,"[36, 38, 32, 24, 42, 36, 36]","[{'Woman': 15.813137590885162, 'Man': 84.18686389923096}, {'Woman': 98.41184616088867, 'Man': 1.5881525352597237}, {'Woman': 49.33300018310547, 'Man': 50.66699981689453}, {'Woman': 8.072562515735626, 'Man': 91.92743301391602}, {'Woman': 99.80996251106262, 'Man': 0.1900415401905775}, {'Woman': 99.80981945991516, 'Man': 0.19017959712073207}, {'Woman': 0.10416175937280059, 'Man': 99.89583492279053}]",happy,white,46.45884272022181,70.45167658982426,32.722342777507315
19,Charles E. Schumer ,"[41, 35, 59, 27, 23]","[{'Woman': 0.1322376076132059, 'Man': 99.86775517463684}, {'Woman': 0.07576304487884045, 'Man': 99.92424249649048}, {'Woman': 0.027604549541138113, 'Man': 99.97239708900452}, {'Woman': 0.0016838093870319426, 'Man': 99.99831914901733}, {'Woman': 0.0011768089279939886, 'Man': 99.99881982803345}]",happy,middle eastern,56.71249088634295,76.61224962106648,38.04764781154789
