index,Age,Gender,Emotion,Race,Valence,Normalized_Valence,Weighted_Valence
Bernard Sanders senator,"[49, 27, 39, 54, 35, 38, 39, 58]","[{'Woman': 0.030981877353042364, 'Man': 99.96901750564575}, {'Woman': 17.329874634742737, 'Man': 82.6701283454895}, {'Woman': 0.06932377000339329, 'Man': 99.93067979812622}, {'Woman': 0.46662851236760616, 'Man': 99.5333731174469}, {'Woman': 0.21314986515790224, 'Man': 99.78684186935425}, {'Woman': 0.010279563866788521, 'Man': 99.98972415924072}, {'Woman': 0.03871737571898848, 'Man': 99.96128678321838}, {'Woman': 0.04625546280294657, 'Man': 99.9537467956543}]","['fear', 'fear', 'happy', 'angry', 'fear', 'sad', 'happy', 'fear']","['white', 'white', 'white', 'white', 'asian', 'asian', 'white', 'white']","[-99.01979343856296, -99.02269268553107, 98.59637470847815, -84.12831723690033, -23.82468281991752, -82.35598969480245, 99.99658387870159, -34.45530491912274]","[-0.5276265384845231, -0.9356575150432471, 98.5978287174633, -0.6008777171373367, 36.221341094156564, -0.7983103362893123, 99.99659555511133, 32.10005720859857]","[-39.51446860857648, -39.59805295061404, 59.15811856427581, -33.60276013612747, -2.1642998103193847, -32.93729495657579, 59.99795268609161, -7.227655248903684]"
Jon Ossoff senator,"[26, 29, 31, 32, 28, 28, 28]","[{'Woman': 0.011358594929333776, 'Man': 99.98863935470581}, {'Woman': 0.049720925744622946, 'Man': 99.95027780532837}, {'Woman': 0.02100716665154323, 'Man': 99.97898936271667}, {'Woman': 0.0033360345696564764, 'Man': 99.99666213989258}, {'Woman': 23.68844300508499, 'Man': 76.3115644454956}, {'Woman': 0.006200572533998638, 'Man': 99.99380111694336}, {'Woman': 0.00016129619098137482, 'Man': 99.99983310699463}]","['sad', 'happy', 'sad', 'neutral', 'happy', 'neutral', 'fear']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-97.74939683265984, 99.99813275836961, -95.64536634305998, -2.2876687169634224, 98.90142019982298, -12.499760673409918, -99.73912515270058]","[-0.31560120545327663, 99.99816519657098, -0.9556186852991468, 0.542190051037383, 99.44497269840942, -0.059020262160716985, -0.9353324301773682]","[-38.96604302339256, 59.99888620819375, -38.257977854773195, -0.8009125901778907, 59.4506607054668, -4.986575512884496, -39.88311292545404]"
Jon Tester senator,"[42, 52, 43, 29, 41, 33, 25]","[{'Woman': 0.038185520679689944, 'Man': 99.96181726455688}, {'Woman': 0.014913154882378876, 'Man': 99.9850869178772}, {'Woman': 0.6627029273658991, 'Man': 99.33730363845825}, {'Woman': 0.014839236973784864, 'Man': 99.98515844345093}, {'Woman': 2.257370948791504, 'Man': 97.74263501167297}, {'Woman': 0.03525649372022599, 'Man': 99.96473789215088}, {'Woman': 0.014066751464270055, 'Man': 99.98593330383301}]","['happy', 'neutral', 'neutral', 'happy', 'sad', 'angry', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[88.82617470200074, -36.94733591983095, -7.427309304330265, 99.99921321809553, -93.53876295463124, -99.84301585901218, 99.9998331069984]","[91.84951362498552, 1.3467497141100466, 20.969866711326176, 99.99921321879746, 1.4975380323739955, -0.923124916985599, 99.99983310700087]","[53.90648036119737, -14.432222635950893, 1.2804176528879907, 59.999527930999115, -36.92400504813122, -39.921993163482746, 59.999899864199534]"
Dianne Feinstein senator,"[50, 36, 55, 40, 52, 37, 42]","[{'Woman': 99.79965090751648, 'Man': 0.2003405475988984}, {'Woman': 0.13606753200292587, 'Man': 99.86392855644226}, {'Woman': 99.99953508377075, 'Man': 0.00046121454033709597}, {'Woman': 3.393147513270378, 'Man': 96.60685658454895}, {'Woman': 97.92656302452087, 'Man': 2.073436416685581}, {'Woman': 32.07226097583771, 'Man': 67.92774200439453}, {'Woman': 99.99998807907104, 'Man': 1.5634603300895833e-05}]","['neutral', 'sad', 'happy', 'fear', 'neutral', 'neutral', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-0.10090807580809269, -98.06008126002142, 99.78430788388368, -99.95301728854429, 11.632313556037843, 3.930221707083022e-06, 1.974913991423783]","[0.010122669919383043, -0.9804458678281665, 99.7844278452382, -0.9762804257497919, 13.848901479505002, 5.401740322958189e-06, 50.49682207479757]","[-0.038114391802537284, -39.224001202034415, 59.87060896494728, -39.97650999680445, 7.4271836737170815, 2.655409512305402e-06, 10.987354068263112]"
Todd Young senator,"[28, 42, 35, 46, 38, 40, 42, 45]","[{'Woman': 37.56598234176636, 'Man': 62.43401765823364}, {'Woman': 0.000516926320415223, 'Man': 99.99948740005493}, {'Woman': 0.0006782827767892741, 'Man': 99.99932050704956}, {'Woman': 0.0005682120900019072, 'Man': 99.99942779541016}, {'Woman': 66.84826016426086, 'Man': 33.15173089504242}, {'Woman': 0.0001045489057105442, 'Man': 99.9998927116394}, {'Woman': 0.0004562979938782519, 'Man': 99.9995470046997}, {'Woman': 0.00030661710752610816, 'Man': 99.99969005584717}]","['fear', 'happy', 'happy', 'happy', 'sad', 'happy', 'sad', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'middle eastern', 'white']","[-68.49390518043492, 97.097140280054, 62.35090157700022, 99.99885684585372, -59.36291372415657, 99.48445789156105, -74.60038104909472, 99.78060120269306]","[-0.6822956130605462, 97.09819256865315, 68.71005626573447, 99.99928356149837, -0.5936290926008767, 99.48447265078265, 0.7709799057338387, 99.78060126902612]","[-27.397028044144918, 58.258496751587785, 38.695218661095936, 59.99940031269297, -23.745165480644307, 59.690677716597556, -29.5336910628248, 59.86836073501645]"
John Kennedy senator,"[33, 43, 48, 25, 30, 44, 41]","[{'Woman': 0.030405333382077515, 'Man': 99.96960163116455}, {'Woman': 10.156212002038956, 'Man': 89.84379172325134}, {'Woman': 7.601497322320938, 'Man': 92.39850640296936}, {'Woman': 93.20996403694153, 'Man': 6.7900314927101135}, {'Woman': 0.001147902094089659, 'Man': 99.99885559082031}, {'Woman': 1.399089302867651, 'Man': 98.60091805458069}, {'Woman': 0.02432168403174728, 'Man': 99.97567534446716}]","['fear', 'happy', 'happy', 'sad', 'sad', 'happy', 'neutral']","['white', 'middle eastern', 'white', 'asian', 'white', 'white', 'white']","[-76.14854797720909, 81.31797072319387, 99.64973651909162, -91.03869044114809, -95.65583875209805, 95.60254948919464, -13.845863674356774]","[-0.5969344712793827, 82.206999421197, 99.78804949179522, -0.9103868834514968, -0.9108140257101549, 95.62656411264106, -0.13839390641362898]","[-30.42617656290531, 48.97038419108867, 59.81778392614257, -36.4154761722249, -38.25309421562491, 57.36638113259687, -5.538332392908379]"
Lindsey Graham senator,"[39, 51, 40, 40, 50, 35, 46]","[{'Woman': 1.8745671957731247, 'Man': 98.12543392181396}, {'Woman': 0.2631860552355647, 'Man': 99.73681569099426}, {'Woman': 36.56984269618988, 'Man': 63.43016028404236}, {'Woman': 0.2579048741608858, 'Man': 99.74209070205688}, {'Woman': 0.2885909518226981, 'Man': 99.71140623092651}, {'Woman': 33.1827312707901, 'Man': 66.81726574897766}, {'Woman': 0.7741473149508238, 'Man': 99.22584891319275}]","['neutral', 'happy', 'happy', 'angry', 'fear', 'neutral', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-11.246225163115572, 90.04633343564237, 99.81836390514033, -85.41675179731101, -59.833369590342045, -43.455879857682426, 99.82138238619832]","[2.3211255115941474, 90.04919650383712, 99.81839307271491, 5.041292590089142, 16.941166505217552, -0.4109376886754826, 99.82138485554515]","[-4.006856173685562, 54.02837845900052, 59.8910242355235, -32.975698676891625, -20.390014462172985, -17.377580001678762, 59.89282993057694]"
Ron Wyden senator,"[43, 36, 26, 37, 49, 41, 39]","[{'Woman': 0.17856743652373552, 'Man': 99.82143640518188}, {'Woman': 0.06945040076971054, 'Man': 99.93054866790771}, {'Woman': 0.0408501218771562, 'Man': 99.95915293693542}, {'Woman': 0.08662805776111782, 'Man': 99.91337656974792}, {'Woman': 0.036731440923176706, 'Man': 99.9632716178894}, {'Woman': 0.48815105110406876, 'Man': 99.5118498802185}, {'Woman': 0.2662929240614176, 'Man': 99.73370432853699}]","['angry', 'happy', 'happy', 'fear', 'angry', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-97.7059579861816, 99.99927990804804, 99.99985395090204, -97.45917129330337, -93.48774662939832, 99.99994047364798, 99.99997617926267]","[-0.7832210769411176, 99.99929533976803, 99.99985448071698, -0.3689054697751999, -0.7062070579268038, 99.99994049250516, 99.99997618585728]","[-39.04322390095331, 59.99957106234802, 59.99991247757455, -38.861307660117745, -37.34890260966495, 59.99996428799832, 59.99998570888985]"
Amy Klobuchar senator,"[36, 38, 32, 24, 42, 36, 36]","[{'Woman': 15.813137590885162, 'Man': 84.18686389923096}, {'Woman': 98.41184616088867, 'Man': 1.5881525352597237}, {'Woman': 49.33300018310547, 'Man': 50.66699981689453}, {'Woman': 8.072562515735626, 'Man': 91.92743301391602}, {'Woman': 99.80996251106262, 'Man': 0.1900415401905775}, {'Woman': 99.80981945991516, 'Man': 0.19017959712073207}, {'Woman': 0.10416175937280059, 'Man': 99.89583492279053}]","['sad', 'sad', 'happy', 'happy', 'happy', 'happy', 'happy']","['white', 'white', 'white', 'white', 'white', 'white', 'white']","[-99.99067745515669, -65.5342948390171, 99.90023725961865, 99.99981315583081, 99.99994648166538, 99.99763968742809, 90.83923475118354]","[-0.9969793892925575, 0.053884644992649555, 99.91282033436909, 99.99989191609542, 99.9999465126111, 99.99763968752886, 94.19453242246527]","[-39.99567959110126, -26.070439633913338, 59.94268439107431, 59.99990380466305, 59.99996789525089, 59.998583812477214, 55.18137876410037]"
Charles E. Schumer senator,"[41, 35, 59, 27, 23]","[{'Woman': 0.1322376076132059, 'Man': 99.86775517463684}, {'Woman': 0.07576304487884045, 'Man': 99.92424249649048}, {'Woman': 0.027604549541138113, 'Man': 99.97239708900452}, {'Woman': 0.0016838093870319426, 'Man': 99.99831914901733}, {'Woman': 0.0011768089279939886, 'Man': 99.99881982803345}]","['happy', 'happy', 'angry', 'happy', 'happy']","['white', 'white', 'middle eastern', 'middle eastern', 'middle eastern']","[98.77252493708137, 85.55166149336735, -99.97395862695802, 99.21899767320387, 99.99322895502019]","[98.94383366217959, 85.5970269707966, -0.9995853251317147, 99.5264145562267, 99.99355824126121]","[59.298122785500986, 51.34016163893541, -39.98955228691698, 59.59350302473502, 59.996003895485046]"
