rank_from_low,rank_from_high,percentile,missed-votes,id,bioguide_id,state,district,name
1,91,0,0.0,300025,C001035,ME,,b'Collins'
1,91,0,0.0,300041,E000285,WY,,b'Enzi'
1,91,0,0.0,300048,G000386,IA,,b'Grassley'
1,91,0,0.0,412545,K000383,ME,,b'King'
1,91,0,0.0,300072,M000355,KY,,b'McConnell'
1,91,0,0.0,300081,R000122,RI,,b'Reed'
1,91,0,0.0,412742,S001203,MN,,b'Smith'
1,91,0,0.0,400546,T000250,SD,,b'Thune'
1,91,0,0.0,412542,W000817,MA,,b'Warren'
10,87,9,0.167,412251,B001261,WY,,b'Barrasso'
10,87,9,0.167,412246,C001070,PA,,b'Casey'
10,87,9,0.167,412667,E000295,IA,,b'Ernst'
10,87,9,0.167,300087,S000148,NY,,b'Schumer'
14,75,13,0.334,400050,B000944,OH,,b'Brown'
14,75,13,0.334,300018,C000127,WA,,b'Cantwell'
14,75,13,0.334,300027,C001056,TX,,b'Cornyn'
14,75,13,0.334,412508,C001095,AR,,b'Cotton'
14,75,13,0.334,412549,D000618,MT,,b'Daines'
14,75,13,0.334,412406,G000562,CO,,b'Gardner'
14,75,13,0.334,412223,G000555,NY,,b'Gillibrand'
14,75,13,0.334,412678,H001075,CA,,b'Harris'
14,75,13,0.334,412679,K000393,LA,,b'Kennedy'
14,75,13,0.334,412464,L000575,OK,,b'Lankford'
14,75,13,0.334,400432,W000437,MS,,b'Wicker'
14,75,13,0.334,300100,W000779,OR,,b'Wyden'
26,67,25,0.501,400013,B001230,WI,,b'Baldwin'
26,67,25,0.501,412490,B001277,CT,,b'Blumenthal'
26,67,25,0.501,412680,H001076,NH,,b'Hassan'
26,67,25,0.501,300052,H000338,UT,,b'Hatch'
26,67,25,0.501,412582,K000384,VA,,b'Kaine'
26,67,25,0.501,412242,K000367,MN,,b'Klobuchar'
26,67,25,0.501,400253,M000133,MA,,b'Markey'
26,67,25,0.501,412194,M001169,CT,,b'Murphy'
34,61,33,0.668,400040,B001236,AR,,b'Boozman'
34,61,33,0.668,412556,F000463,NE,,b'Fischer'
34,61,33,0.668,400325,P000449,OH,,b'Portman'
34,61,33,0.668,400415,V000128,MD,,b'Van Hollen'
34,61,33,0.668,412247,W000802,RI,,b'Whitehouse'
34,61,33,0.668,412428,Y000064,IN,,b'Young'
40,51,39,0.835,412330,B001267,CO,,b'Bennet'
40,51,39,0.835,400064,C000141,MD,,b'Cardin'
40,51,39,0.835,300030,C000880,ID,,b'Crapo'
40,51,39,0.835,412496,J000293,WI,,b'Johnson'
40,51,39,0.835,412391,M001183,WV,,b'Manchin'
40,51,39,0.835,412305,P000595,MI,,b'Peters'
40,51,39,0.835,412322,R000584,ID,,b'Risch'
40,51,39,0.835,412471,S001184,SC,,b'Scott'
40,51,39,0.835,300089,S000320,AL,,b'Shelby'
40,51,39,0.835,300093,S000770,MI,,b'Stabenow'
50,45,49,1.002,400061,C001047,WV,,b'Capito'
50,45,49,1.002,300019,C000174,DE,,b'Carper'
50,45,49,1.002,412269,C001075,LA,,b'Cassidy'
50,45,49,1.002,412671,S001197,NE,,b'Sasse'
50,45,49,1.002,412244,T000464,MT,,b'Tester'
50,45,49,1.002,400413,U000039,NM,,b'Udall'
56,42,56,1.169,412494,H001061,ND,,b'Hoeven'
56,42,56,1.169,412666,P000612,GA,,b'Perdue'
56,42,56,1.169,300083,R000307,KS,,b'Roberts'
59,41,59,1.336,412205,D000607,IN,,b'Donnelly'
60,39,60,1.503,412669,R000605,SD,,b'Rounds'
60,39,60,1.503,412321,W000805,VA,,b'Warner'
62,36,62,1.669,412681,C001113,NV,,b'Cortez Masto'
62,36,62,1.669,412495,L000577,UT,,b'Lee'
62,36,62,1.669,412325,M001176,OR,,b'Merkley'
65,35,65,1.825,412741,J000300,AL,,b'Jones'
66,33,66,2.003,412200,H001042,HI,,b'Hirono'
66,33,66,2.003,412507,S001194,HI,,b'Schatz'
68,32,68,2.337,400034,B000575,MO,,b'Blunt'
69,29,69,2.504,300038,D000563,IL,,b'Durbin'
69,29,69,2.504,300055,I000024,OK,,b'Inhofe'
69,29,69,2.504,400357,S000033,VT,,b'Sanders'
72,28,72,2.671,300076,M001111,WA,,b'Murray'
73,25,73,2.838,412554,H001069,ND,,b'Heitkamp'
