rank_from_low,rank_from_high,percentile,missed-votes,id,bioguide_id,state,district,name
73,25,73,2.838,300065,L000174,VT,,b'Leahy'
73,25,73,2.838,412243,M001170,MO,,b'McCaskill'
76,24,76,2.844,412743,H001079,MS,,b'Hyde-Smith'
77,22,77,3.005,300075,M001153,AK,,b'Murkowski'
77,22,77,3.005,412323,S001181,NH,,b'Shaheen'
79,21,79,3.339,412665,S001198,AK,,b'Sullivan'
80,20,80,3.506,412492,P000603,KY,,b'Paul'
81,19,81,3.84,412390,C001088,DE,,b'Coons'
82,17,82,4.174,400054,B001135,NC,,b'Burr'
82,17,82,4.174,412248,C001071,TN,,b'Corker'
84,15,84,4.341,412281,H001046,NM,,b'Heinrich'
84,15,84,4.341,400284,M000934,KS,,b'Moran'
86,14,86,4.508,300002,A000360,TN,,b'Alexander'
87,12,87,4.674,412598,B001288,NJ,,b'Booker'
87,12,87,4.674,400408,T000461,PA,,b'Toomey'
89,11,89,4.841,412218,H001041,NV,,b'Heller'
90,10,90,5.342,412573,C001098,TX,,b'Cruz'
91,9,91,5.509,412668,T000476,NC,,b'Tillis'
92,8,92,5.843,412491,R000595,FL,,b'Rubio'
93,7,93,6.01,300047,G000359,SC,,b'Graham'
94,6,94,6.177,300043,F000062,CA,,b'Feinstein'
95,5,95,6.344,300078,N000032,FL,,b'Nelson'
96,4,96,8.013,400134,F000444,AZ,,b'Flake'
97,3,97,11.018,400194,I000055,GA,,b'Isakson'
98,2,98,12.855,412533,D000622,IL,,b'Duckworth'
99,1,99,14.023,400272,M000639,NJ,,b'Menendez'
